cluster_id,name,cg_name,ra_deg,dec_deg,radius_deg,dist_pc,age_gyr,n_members
melotte_25,Cl Melotte 25,Melotte_25,67.447,16.948,2.0,47.0,0.7943,515
ngc_6192,NGC 6192,NGC_6192,250.077,-43.355,0.25,1737.0,0.2399,514
ngc_457,NGC 457,NGC_457,19.887,58.278,0.312,2749.0,0.0209,509
ngc_2243,NGC 2243,NGC_2243,97.395,-31.282,0.25,3719.0,4.3652,506
ngc_869,NGC 869,NGC_869,34.741,57.134,0.34,2197.0,0.0151,503
ngc_6281,NGC 6281,NGC_6281,256.179,-37.948,0.647,539.0,0.5129,497
ngc_2439,NGC 2439,NGC_2439,115.194,-31.694,0.25,3707.0,0.0117,489
lp_145,[LP2019] 145,LP_145,256.976,-44.157,0.305,1982.0,1.0,487
ngc_2539,NGC 2539,NGC_2539,122.658,-12.834,0.468,1228.0,0.6918,485
ngc_6649,NGC 6649,NGC_6649,278.359,-10.399,0.25,2124.0,0.0708,483
ngc_1245,NGC 1245,NGC_1245,48.691,47.235,0.273,3201.0,1.2023,479
melotte_101,Cl Melotte 101,Melotte_101,160.535,-65.11,0.34,2027.0,0.166,472
ngc_6242,NGC 6242,NGC_6242,253.878,-39.474,0.26,1246.0,0.0776,471
ic_361,IC 361,IC_361,64.736,58.252,0.25,3576.0,0.8128,470
ngc_663,NGC 663,NGC_663,26.586,61.212,0.375,2950.0,0.0295,468
ic_4756,IC 4756,IC_4756,279.649,5.435,1.335,506.0,1.2882,466
ngc_5823,NGC 5823,NGC_5823,226.365,-55.608,0.335,1906.0,0.0794,464
ufmg_2,[FSC2019] UFMG 2,UFMG_2,237.585,-55.961,0.25,2228.0,1.2882,462
ic_4725,IC 4725,IC_4725,277.937,-19.114,0.653,698.0,0.1122,461
ngc_2244,NGC 2244,NGC_2244,98.045,4.914,0.58,1478.0,0.0126,460
melotte_105,Cl Melotte 105,Melotte_105,169.92,-63.486,0.25,2346.0,0.302,458
ngc_2548,NGC 2548,NGC_2548,123.412,-5.726,0.922,772.0,0.389,454
ic_1311,IC 1311,IC_1311,302.697,41.177,0.25,6167.0,0.912,449
trumpler_10,Cl Trumpler 10,Trumpler_10,131.943,-42.566,2.0,427.0,0.0324,446
tombaugh_5,Cl Tombaugh 5,Tombaugh_5,56.984,59.07,0.425,1706.0,0.1862,444
ubc_106,UBC 106,UBC_106,280.475,-5.417,0.302,2353.0,0.1585,431
ngc_6871,NGC 6871,NGC_6871,301.548,35.765,0.927,1720.0,0.0055,430
pismis_19,Cl Pismis 19,Pismis_19,217.666,-60.889,0.25,3515.0,0.8318,430
ngc_6193,NGC 6193,NGC_6193,250.319,-48.777,0.39,1264.0,0.0051,428
ngc_7762,NGC 7762,NGC_7762,357.472,68.035,0.425,897.0,2.0417,419
ngc_2345,NGC 2345,NGC_2345,107.075,-13.199,0.25,2663.0,0.2089,418
