cluster_id,name,cg_name,ra_deg,dec_deg,radius_deg,dist_pc,age_gyr,n_members
tombaugh_1,Cl Tombaugh 1,Tombaugh_1,105.126,-20.569,0.25,2554.0,1.2589,179
bh_87,Cl VDBH 87,BH_87,151.148,-55.386,0.25,2121.0,0.1175,177
juchert_13,Juchert 13,Juchert_13,180.431,-64.099,0.25,3390.0,2.2909,177
melotte_72,Cl Melotte 72,Melotte_72,114.618,-10.698,0.25,2684.0,0.9772,177
berkeley_89,Cl Berkeley 89,Berkeley_89,306.114,46.048,0.25,3508.0,2.0893,176
fsr_0088,[FSR2007] 0088,FSR_0088,282.667,-4.158,0.25,3063.0,0.166,176
ascc_113,[KPR2005] 113,ASCC_113,317.933,38.638,1.323,563.0,0.2884,175
ascc_16,[KPR2005] 16,ASCC_16,81.198,1.655,0.94,344.0,0.0135,175
alessi_44,Cl Alessi 44,Alessi_44,295.325,1.592,2.0,679.0,0.2239,175
ngc_103,NGC 103,NGC_103,6.312,61.326,0.25,3167.0,0.1023,175
ngc_1798,NGC 1798,NGC_1798,77.914,47.691,0.25,5124.0,1.6596,175
ubc_547,UBC 547,UBC_547,251.64,-47.103,0.45,2726.0,0.0151,175
bh_121,Cl VDBH 121,BH_121,174.661,-63.387,0.385,2413.0,0.0026,174
pismis_12,Cl Pismis 12,Pismis_12,140.007,-45.131,0.25,2107.0,1.2303,174
upk_545,UPK 545,UPK_545,130.809,-58.629,2.0,346.0,0.0794,174
ngc_7790,NGC 7790,NGC_7790,-0.387,61.21,0.25,3303.0,0.1288,173
stock_1,Cl Stock 1,Stock_1,294.146,25.163,1.855,416.0,0.4169,173
ngc_6152,NGC 6152,NGC_6152,248.213,-52.629,0.375,1618.0,0.2239,172
ngc_7128,NGC 7128,NGC_7128,325.991,53.715,0.25,4199.0,0.0263,172
ngc_7235,NGC 7235,NGC_7235,333.083,57.271,0.25,3951.0,0.0093,171
ngc_2432,NGC 2432,NGC_2432,115.223,-19.078,0.25,1901.0,0.6918,170
ngc_6583,NGC 6583,NGC_6583,273.962,-22.143,0.25,2053.0,1.2023,170
rsg_8,RSG 8,RSG_8,344.983,59.371,2.0,431.0,0.0269,170
ubc_284,UBC 284,UBC_284,184.283,-62.952,0.25,1865.0,1.5849,170
upk_168,UPK 168,UPK_168,343.832,43.35,1.953,602.0,0.0363,170
upk_549,UPK 549,UPK_549,146.49,-52.49,0.488,1014.0,0.9333,170
collinder_350,Cl Collinder 350,Collinder_350,267.018,1.525,1.965,371.0,0.5888,169
fsr_0951,[FSR2007] 0951,FSR_0951,95.573,14.65,0.41,1757.0,0.5248,169
ruprecht_147,Cl Ruprecht 147,Ruprecht_147,289.087,-16.333,1.63,323.0,3.02,169
ubc_418,UBC 418,UBC_418,34.671,59.832,0.685,2988.0,0.0229,169
czernik_38,Cl Czernik 38,Czernik_38,282.451,4.965,0.25,2461.0,0.1862,168
trumpler_17,Cl Trumpler 17,Trumpler_17,164.108,-59.23,0.25,2709.0,0.02,168
westerlund_2,Cl Westerlund 2,Westerlund_2,156.01,-57.758,0.25,500.0,0.1,168
vdbergh_92,Cl VDB 92,vdBergh_92,106.038,-11.475,0.28,1193.0,0.0078,168
ic_4665,IC 4665,IC_4665,266.554,5.615,1.265,354.0,0.0331,167
ngc_3590,NGC 3590,NGC_3590,168.262,-60.79,0.25,2638.0,0.0263,167
lp_1235,[LP2019] 1235,LP_1235,281.846,-5.255,0.268,1998.0,0.3981,166
alessi_31,Cl Alessi 31,Alessi_31,267.698,-11.853,0.828,712.0,0.2399,165
ruprecht_128,Cl Ruprecht 128,Ruprecht_128,266.063,-34.879,0.25,1772.0,0.955,165
alessi_3,Cl Alessi 3,Alessi_3,109.275,-46.142,2.0,297.0,0.631,164
alessi_6,Cl Alessi 6,Alessi_6,220.058,-66.127,0.735,886.0,0.4266,164
fsr_0451,[FSR2007] 0451,FSR_0451,357.955,60.916,0.535,3252.0,0.0135,164
haffner_10,Cl Haffner 10,Haffner_10,112.156,-15.364,0.25,3409.0,3.8019,163
ngc_2428,NGC 2428,NGC_2428,114.831,-16.55,0.365,1322.0,0.7244,163
ngc_6694,NGC 6694,NGC_6694,281.317,-9.386,0.25,1921.0,0.1413,163
teutsch_84,Teutsch 84,Teutsch_84,256.09,-42.07,0.25,2446.0,1.0471,163
ubc_218,UBC 218,UBC_218,106.514,-9.163,0.627,2704.0,0.0309,163
collinder_421,Cl Collinder 421,Collinder_421,305.829,41.701,0.357,1214.0,0.2344,162
czernik_32,Cl Czernik 32,Czernik_32,117.62,-29.853,0.25,4139.0,1.122,162
haffner_14,Cl Haffner 14,Haffner_14,116.182,-28.384,0.25,4108.0,0.2884,162
ngc_2335,NGC 2335,NGC_2335,106.69,-10.023,0.275,1661.0,0.3236,162
ngc_7031,NGC 7031,NGC_7031,316.809,50.87,0.295,1443.0,0.1549,162
rsg_5,RSG 5,RSG_5,303.482,45.574,2.0,328.0,0.0347,162
lp_930,[LP2019] 930,LP_930,102.845,-1.801,0.25,2371.0,2.2909,161
ngc_2264,NGC 2264,NGC_2264,100.217,9.877,0.25,707.0,0.0275,161
ngc_436,NGC 436,NGC_436,19.001,58.82,0.25,3109.0,0.0562,161
tombaugh_4,Cl Tombaugh 4,Tombaugh_4,37.305,61.787,0.25,3576.0,1.5849,160
alessi_2,Cl Alessi 2,Alessi_2,71.602,55.199,1.385,657.0,0.3548,159
ngc_6531,NGC 6531,NGC_6531,271.036,-22.505,0.295,1165.0,0.0129,158
trumpler_12,Cl Trumpler 12,Trumpler_12,151.621,-60.29,0.25,3307.0,0.6607,158
alessi_24,Cl Alessi 24,Alessi_24,260.764,-62.693,1.165,502.0,0.0724,156
collinder_394,Cl Collinder 394,Collinder_394,283.092,-20.229,0.49,700.0,0.0912,156
upk_167,UPK 167,UPK_167,337.143,49.814,2.0,559.0,0.123,156
haffner_6,Cl Haffner 6,Haffner_6,109.998,-13.151,0.25,4466.0,0.6166,154
ngc_7092,NGC 7092,NGC_7092,322.889,48.247,2.0,311.0,0.3981,154
trumpler_2,Cl Trumpler 2,Trumpler_2,39.232,55.905,0.807,710.0,0.1122,154
berkeley_67,Cl Berkeley 67,Berkeley_67,69.472,50.755,0.25,2216.0,1.2589,153
gulliver_49,Cl Gulliver 49,Gulliver_49,350.704,61.988,0.39,1613.0,0.3802,153
harvard_10,Cl Harvard 10,Harvard_10,244.859,-54.957,0.885,716.0,0.1995,153
ngc_886,NGC 886,NGC_886,35.898,63.8,0.85,1021.0,0.8128,153
haffner_15,Cl Haffner 15,Haffner_15,116.38,-32.846,0.25,3811.0,0.0257,151
ngc_1778,NGC 1778,NGC_1778,77.033,37.02,0.28,1663.0,0.1778,151
roslund_5,Cl Roslund 5,Roslund_5,302.641,33.751,0.945,546.0,0.0977,151
berkeley_36,Cl Berkeley 36,Berkeley_36,109.105,-13.196,0.25,4360.0,6.7608,150
ngc_1502,NGC 1502,NGC_1502,61.954,62.332,0.25,1171.0,0.0105,150
ngc_2571,NGC 2571,NGC_2571,124.723,-29.775,0.318,1329.0,0.0269,150
ngc_6216,NGC 6216,NGC_6216,252.335,-44.721,0.25,2578.0,0.0479,150
ngc_6451,NGC 6451,NGC_6451,267.675,-30.206,0.25,2777.0,0.0257,150
ngc_6568,NGC 6568,NGC_6568,273.192,-21.612,0.35,1079.0,0.871,150
ascc_19,[KPR2005] 19,ASCC_19,81.982,-1.987,1.512,346.0,0.0105,149
ngc_2849,NGC 2849,NGC_2849,139.85,-40.52,0.25,5221.0,1.0471,149
ngc_6318,NGC 6318,NGC_6318,259.044,-39.424,0.25,2213.0,0.0098,149
ngc_6633,NGC 6633,NGC_6633,276.845,6.615,0.9,424.0,0.6918,149
ubc_349,UBC 349,UBC_349,280.081,-7.027,0.278,2411.0,0.2042,149
berkeley_98,Cl Berkeley 98,Berkeley_98,340.665,52.407,0.25,3519.0,2.4547,148
ngc_2396,NGC 2396,NGC_2396,111.984,-11.725,0.46,1453.0,0.0724,148
ngc_5460,NGC 5460,NGC_5460,211.847,-48.285,0.645,725.0,0.1585,148
ngc_5715,NGC 5715,NGC_5715,220.859,-57.578,0.25,2117.0,0.537,148
czernik_29,Cl Czernik 29,Czernik_29,112.1,-15.385,0.25,3485.0,0.1514,147
lynga_2,Cl Lynga 2,Lynga_2,216.085,-61.328,0.495,970.0,0.1023,147
ngc_1582,NGC 1582,NGC_1582,67.985,43.718,0.66,994.0,0.2344,147
ruprecht_79,Cl Ruprecht 79,Ruprecht_79,145.259,-53.846,0.25,3806.0,0.0617,147
haffner_22,Cl Haffner 22,Haffner_22,123.108,-27.913,0.25,2802.0,2.4547,146
ubc_146,UBC 146,UBC_146,309.368,46.467,0.25,2515.0,0.0437,145
ubc_321,UBC 321,UBC_321,251.906,-44.536,0.25,2404.0,1.3183,145
ngc_2362,NGC 2362,NGC_2362,109.671,-24.954,0.25,1341.0,0.0058,144
ubc_566,UBC 566,UBC_566,263.681,-33.102,0.25,500.0,0.1,144
gulliver_44,Cl Gulliver 44,Gulliver_44,127.249,-38.095,0.473,1227.0,0.4467,143
teutsch_35,Teutsch 35,Teutsch_35,294.091,35.742,1.035,509.0,0.1023,143
ubc_54,UBC 54,UBC_54,64.747,46.453,0.445,1105.0,0.2512,143
alessi_62,Cl Alessi 62,Alessi_62,284.026,21.597,0.64,650.0,0.6918,142
berkeley_9,Cl Berkeley 9,Berkeley_9,53.167,52.649,0.25,1814.0,1.3804,142
stock_10,Cl Stock 10,Stock_10,84.808,37.85,1.353,373.0,0.0813,142
trumpler_29,Cl Trumpler 29,Trumpler_29,265.347,-40.158,0.362,1488.0,0.0513,142
ascc_77,[KPR2005] 77,ASCC_77,212.694,-62.331,0.448,1136.0,0.0813,141
ngc_2192,NGC 2192,NGC_2192,93.819,39.846,0.25,3589.0,0.9772,141
haffner_11,Cl Haffner 11,Haffner_11,113.855,-27.708,0.25,5605.0,0.9333,140
ngc_2286,NGC 2286,NGC_2286,101.916,-3.167,0.25,2286.0,0.5495,140
ngc_6823,NGC 6823,NGC_6823,295.794,23.321,0.25,2330.0,0.0024,140
trumpler_22,Cl Trumpler 22,Trumpler_22,217.783,-61.169,0.258,2439.0,0.0324,140
ascc_12,[KPR2005] 12,ASCC_12,72.4,41.744,0.757,1048.0,0.0933,139
ic_348,IC 348,IC_348,56.132,32.159,0.25,337.0,0.0117,139
ngc_6735,NGC 6735,NGC_6735,285.155,-0.498,0.263,2378.0,0.2455,139
ngc_659,NGC 659,NGC_659,26.108,60.679,0.25,3317.0,0.0155,138
trumpler_15,Cl Trumpler 15,Trumpler_15,161.177,-59.369,0.25,2599.0,0.0089,138
ubc_266,UBC 266,UBC_266,166.334,-59.759,0.348,2423.0,0.0129,138
berkeley_70,Cl Berkeley 70,Berkeley_70,81.457,41.951,0.25,4954.0,2.1878,137
dolidze_5,Cl Dolidze 5,Dolidze_5,305.025,39.331,0.25,2001.0,0.0631,137
fsr_0336,[FSR2007] 0336,FSR_0336,327.711,55.243,0.278,2661.0,0.0479,137
ngc_1758,NGC 1758,NGC_1758,76.175,23.813,0.265,885.0,0.2754,137
ngc_381,NGC 381,NGC_381,17.094,61.586,0.25,1172.0,0.3802,137
ngc_4052,NGC 4052,NGC_4052,180.446,-63.23,0.253,2603.0,0.3311,137
ngc_7788,NGC 7788,NGC_7788,359.179,61.395,0.25,2974.0,0.0174,137
ascc_111,[KPR2005] 111,ASCC_111,302.891,37.515,1.343,851.0,0.2754,136
collinder_95,Cl Collinder 95,Collinder_95,97.788,9.894,0.428,659.0,0.0191,136
fsr_0942,[FSR2007] 0942,FSR_0942,91.487,13.667,0.25,3409.0,0.7244,136
ngc_2635,NGC 2635,NGC_2635,129.619,-34.777,0.25,5011.0,0.3981,136
berkeley_13,Cl Berkeley 13,Berkeley_13,73.943,52.809,0.25,3958.0,0.4898,135
sai_116,SAI 116,SAI_116,177.324,-62.226,0.25,4130.0,0.1259,135
ascc_114,[KPR2005] 114,ASCC_114,324.99,53.997,0.54,908.0,0.0479,134
fsr_1378,[FSR2007] 1378,FSR_1378,120.304,-40.676,0.25,1578.0,2.2387,134
lp_2000,[LP2019] 2000,LP_2000,319.099,57.463,0.45,1312.0,0.2188,134
ngc_1708,NGC 1708,NGC_1708,75.871,52.851,0.62,967.0,0.2692,134
ascc_58,[KPR2005] 58,ASCC_58,153.657,-55.001,1.48,491.0,0.0525,133
alessi_37,Cl Alessi 37,Alessi_37,341.961,46.342,1.057,695.0,0.138,133
bh_221,Cl VDBH 221,BH_221,259.641,-32.334,0.38,1213.0,0.0107,133
fsr_0893,[FSR2007] 0893,FSR_0893,93.454,21.608,0.25,2328.0,0.5623,133
king_19,Cl King 19,King_19,347.053,60.523,0.25,2598.0,0.4898,133
gulliver_19,Cl Gulliver 19,Gulliver_19,344.19,61.106,0.393,1732.0,0.0977,132
juchert_10,Juchert 10,Juchert_10,220.049,-60.375,0.25,500.0,0.1,132
sai_132,SAI 132,SAI_132,299.248,31.609,0.25,3118.0,0.7943,132
lp_2094,[LP2019] 2094,LP_2094,175.495,-61.961,0.268,1733.0,0.1479,131
lp_597,[LP2019] 597,LP_597,282.104,8.714,0.25,2087.0,0.537,131
lynga_5,Cl Lynga 5,Lynga_5,235.462,-56.68,0.25,2929.0,0.7943,131
ngc_581,NGC 581,NGC_581,23.339,60.659,0.25,2502.0,0.0275,131
upk_429,UPK 429,UPK_429,108.961,-0.875,1.01,904.0,0.1413,131
coin_gaia_13,[CKS2019] COIN-Gaia 13,COIN-Gaia_13,83.186,42.087,2.0,545.0,0.1862,130
ngc_366,NGC 366,NGC_366,16.624,62.219,0.25,2677.0,0.0257,130
ruprecht_111,Cl Ruprecht 111,Ruprecht_111,219.01,-59.975,0.25,1451.0,0.912,130
ubc_558,UBC 558,UBC_558,259.353,-40.276,0.25,2833.0,0.0072,130
ngc_2254,NGC 2254,NGC_2254,98.949,7.671,0.25,2617.0,0.3467,129
ruprecht_58,Cl Ruprecht 58,Ruprecht_58,123.71,-31.938,0.25,3218.0,0.3311,129
stock_7,Cl Stock 7,Stock_7,37.431,60.627,0.698,708.0,0.0724,129
ubc_324,UBC 324,UBC_324,255.954,-38.465,0.25,1815.0,0.7943,129
collinder_268,Cl Collinder 268,Collinder_268,199.543,-67.079,0.25,2633.0,0.2399,128
ngc_2318,NGC 2318,NGC_2318,104.854,-13.822,0.43,1394.0,0.4365,128
ngc_6425,NGC 6425,NGC_6425,266.733,-31.507,0.285,976.0,0.4677,128
roslund_7,Cl Roslund 7,Roslund_7,313.196,37.847,1.15,1198.0,0.1259,128
ufmg_1,[FSC2019] UFMG 1,UFMG_1,236.593,-56.792,0.253,2398.0,0.2692,128
alessi_teutsch_5,NAME Alessi-Teutsch 5,Alessi_Teutsch_5,332.218,61.103,1.067,907.0,0.0186,127
berkeley_81,Cl Berkeley 81,Berkeley_81,285.419,-0.454,0.25,3313.0,1.1482,127
ngc_6910,NGC 6910,NGC_6910,305.797,40.771,0.25,1729.0,0.0135,127
bh_90,Cl VDBH 90,BH_90,153.064,-58.069,0.25,2792.0,0.1259,126
berkeley_33,Cl Berkeley 33,Berkeley_33,104.456,-13.227,0.25,5851.0,0.2344,126
fsr_0123,[FSR2007] 0123,FSR_0123,287.911,12.037,0.25,3952.0,1.0233,126
haffner_9,Cl Haffner 9,Haffner_9,111.175,-17.001,0.25,2906.0,0.3802,126
ngc_2479,NGC 2479,NGC_2479,118.762,-17.732,0.25,1562.0,0.9772,126
dc_5,[D2005c] DC5,DC_5,159.996,-59.192,0.25,500.0,0.1,125
koposov_12,[KGZ2008] 12,Koposov_12,90.245,35.287,0.25,2461.0,0.389,125
lp_403,[LP2019] 403,LP_403,161.024,-58.095,0.25,2764.0,0.0263,125
ngc_6704,NGC 6704,NGC_6704,282.687,-5.203,0.25,2040.0,0.1995,125
platais_9,Cl Platais 9,Platais_9,139.241,-43.862,2.0,173.0,0.0501,125
ruprecht_164,Cl Ruprecht 164,Ruprecht_164,172.616,-60.752,0.25,3916.0,1.6982,125
trumpler_30,Cl Trumpler 30,Trumpler_30,269.182,-35.298,0.25,1346.0,0.4365,125
collinder_140,Cl Collinder 140,Collinder_140,110.882,-31.966,1.42,388.0,0.0269,124
czernik_21,Cl Czernik 21,Czernik_21,81.671,36.013,0.25,4036.0,2.5704,124
king_25,Cl King 25,King_25,291.122,13.696,0.25,3089.0,0.0447,124
ngc_7423,NGC 7423,NGC_7423,343.789,57.096,0.25,3981.0,1.5849,124
rsg_7,RSG 7,RSG_7,344.19,59.363,2.0,416.0,0.0389,124
ubc_200,UBC 200,UBC_200,76.912,17.585,0.25,2663.0,1.2589,124
ubc_343,UBC 343,UBC_343,276.989,-14.72,0.295,2229.0,0.02,124
ubc_420,UBC 420,UBC_420,40.333,60.871,0.475,2304.0,0.0646,124
ascc_41,[KPR2005] 41,ASCC_41,116.674,0.137,1.698,300.0,0.2138,123
berkeley_58,Cl Berkeley 58,Berkeley_58,0.063,60.937,0.25,3468.0,0.0603,123
ngc_1893,NGC 1893,NGC_1893,80.724,33.444,0.25,3222.0,0.0044,123
ngc_2671,NGC 2671,NGC_2671,131.557,-41.886,0.25,1386.0,0.3311,123
trumpler_32,Cl Trumpler 32,Trumpler_32,274.294,-13.349,0.25,1608.0,1.349,123
ngc_2546,NGC 2546,NGC_2546,123.082,-37.661,0.573,934.0,0.1413,122
ngc_2587,NGC 2587,NGC_2587,125.861,-29.503,0.29,3206.0,0.3162,122
ngc_6167,NGC 6167,NGC_6167,248.662,-49.759,0.25,1336.0,0.1549,122
ubc_538,UBC 538,UBC_538,242.592,-52.339,0.25,2772.0,0.631,122
ascc_88,[KPR2005] 88,ASCC_88,256.886,-35.564,0.93,931.0,0.2455,121
eso_211_03,ESO 211-03,ESO_211_03,132.897,-50.253,0.25,5313.0,1.2882,121
gulliver_21,Cl Gulliver 21,Gulliver_21,106.961,-25.462,0.91,670.0,0.2754,121
ngc_1980,NGC 1980,NGC_1980,83.81,-5.924,0.378,377.0,0.0132,121
ngc_2448,NGC 2448,NGC_2448,116.034,-24.837,0.667,1128.0,0.0955,121
ascc_23,[KPR2005] 23,ASCC_23,95.047,46.71,0.797,630.0,0.2344,120
eso_130_13,ESO 130-13,ESO_130_13,185.782,-59.644,0.25,2420.0,0.0339,120
ubc_238,UBC 238,UBC_238,117.053,-33.703,0.43,3492.0,0.0195,120
ubc_393,UBC 393,UBC_393,345.615,56.953,0.315,3805.0,0.0085,120
alessi_20,Cl Alessi 20,Alessi_20,2.593,58.742,0.587,412.0,0.0093,119
trumpler_9,Cl Trumpler 9,Trumpler_9,118.911,-25.888,0.25,2554.0,0.0316,119
ubc_529,UBC 529,UBC_529,205.412,-61.922,0.25,2875.0,0.166,119
fsr_0850,[FSR2007] 0850,FSR_0850,86.257,24.74,0.25,2232.0,0.4677,118
ngc_2910,NGC 2910,NGC_2910,142.643,-52.913,0.25,1266.0,0.1288,118
ubc_290,UBC 290,UBC_290,191.949,-59.381,0.378,1605.0,0.1905,118
ascc_127,[KPR2005] 127,ASCC_127,347.205,64.974,1.567,376.0,0.0182,117
gulliver_60,Cl Gulliver 60,Gulliver_60,303.436,29.672,0.273,1063.0,0.0933,117
king_2,Cl King 2,King_2,12.741,58.188,0.25,6760.0,4.0738,117
lp_2198,[LP2019] 2198,LP_2198,107.506,4.667,0.415,1204.0,2.0417,117
ngc_1545,NGC 1545,NGC_1545,65.202,50.221,0.725,732.0,0.1096,117
ngc_2414,NGC 2414,NGC_2414,113.293,-15.449,0.25,5273.0,0.0178,117
ngc_3228,NGC 3228,NGC_3228,155.378,-51.814,1.28,498.0,0.0302,117
pismis_15,Cl Pismis 15,Pismis_15,143.684,-48.04,0.25,2559.0,0.871,117
ruprecht_27,Cl Ruprecht 27,Ruprecht_27,114.423,-26.516,0.25,2063.0,0.5623,117
ubc_559,UBC 559,UBC_559,259.123,-39.699,0.38,2144.0,0.0115,117
collinder_307,Cl Collinder 307,Collinder_307,248.792,-50.99,0.25,2099.0,0.2455,116
coin_gaia_2,[CKS2019] COIN-Gaia 2,COIN-Gaia_2,15.06,55.409,0.468,1204.0,0.6607,115
ngc_1977,NGC 1977,NGC_1977,83.815,-4.819,0.32,407.0,0.0977,115
ngc_2215,NGC 2215,NGC_2215,95.199,-7.277,0.432,978.0,0.6918,115
ngc_2482,NGC 2482,NGC_2482,118.787,-24.263,0.372,1285.0,0.3467,115
ruprecht_1,Cl Ruprecht 1,Ruprecht_1,99.084,-14.157,0.315,1533.0,0.2884,115
ubc_129,UBC 129,UBC_129,299.05,26.448,0.525,1208.0,0.0525,115
upk_194,UPK 194,UPK_194,336.446,65.004,0.722,1003.0,0.1514,115
upk_470,UPK 470,UPK_470,108.394,-19.495,1.442,965.0,0.0417,115
berkeley_15,Cl Berkeley 15,Berkeley_15,75.52,44.506,0.25,2958.0,0.0186,114
gulliver_23,Cl Gulliver 23,Gulliver_23,304.255,38.055,0.25,3424.0,0.5248,114
ngc_957,NGC 957,NGC_957,38.343,57.553,0.325,2614.0,0.0417,114
sigma_ori,NAME sigma Orionis Open Cluster,Sigma_Ori,84.716,-2.582,0.438,500.0,0.1,114
ubc_512,UBC 512,UBC_512,166.386,-60.466,0.25,3488.0,0.2951,114
ubc_654,UBC 654,UBC_654,159.284,-59.875,0.258,4159.0,0.0089,114
ascc_105,[KPR2005] 105,ASCC_105,295.548,27.366,1.62,567.0,0.0741,113
ascc_79,[KPR2005] 79,ASCC_79,229.731,-60.798,2.0,825.0,0.0186,113
alessi_21,Cl Alessi 21,Alessi_21,107.69,-9.363,1.167,587.0,0.0661,113
berkeley_78,Cl Berkeley 78,Berkeley_78,110.913,5.37,0.25,4125.0,3.8905,113
upk_422,UPK 422,UPK_422,88.007,-7.543,1.85,295.0,0.0195,113
berkeley_87,Cl Berkeley 87,Berkeley_87,305.396,37.433,0.25,1644.0,0.0083,112
collinder_220,Cl Collinder 220,Collinder_220,156.429,-57.922,0.273,2457.0,0.2344,112
ngc_2126,NGC 2126,NGC_2126,90.658,49.883,0.25,1304.0,0.9772,112
ascc_6,[KPR2005] 6,ASCC_6,26.846,57.722,0.47,1590.0,0.0347,111
ngc_6827,NGC 6827,NGC_6827,297.22,21.213,0.25,5735.0,1.2882,111
ubc_320,UBC 320,UBC_320,251.403,-44.448,0.25,3099.0,0.0178,111
alessi_teutsch_11,NAME Alessi Teutsch 11,Alessi_Teutsch_11,304.127,52.051,0.643,634.0,0.1445,110
collinder_258,Cl Collinder 258,Collinder_258,186.798,-60.767,0.32,1284.0,0.0977,110
lp_2068,[LP2019] 2068,LP_2068,283.967,-5.094,0.25,1969.0,0.2239,110
ruprecht_28,Cl Ruprecht 28,Ruprecht_28,114.9,-30.933,0.25,4240.0,1.1749,110
ruprecht_98,Cl Ruprecht 98,Ruprecht_98,179.715,-64.581,2.0,506.0,0.4898,110
trumpler_16,Cl Trumpler 16,Trumpler_16,161.253,-59.7,0.25,2107.0,0.0135,110
upk_143,UPK 143,UPK_143,319.134,49.942,1.075,912.0,0.257,110
upk_579,UPK 579,UPK_579,192.917,-50.541,2.0,702.0,0.1202,110
bh_56,Cl VDBH 56,BH_56,134.355,-43.181,0.537,840.0,0.0178,109
fsr_0496,[FSR2007] 0496,FSR_0496,6.656,64.01,0.25,1423.0,2.0417,109
ngc_2251,NGC 2251,NGC_2251,98.68,8.337,0.307,1519.0,0.2754,109
ngc_7039,NGC 7039,NGC_7039,317.663,45.597,0.36,753.0,0.0219,109
pismis_7,Cl Pismis 7,Pismis_7,130.287,-38.699,0.25,4611.0,0.7762,109
ruprecht_60,Cl Ruprecht 60,Ruprecht_60,126.105,-47.207,0.25,4322.0,0.9772,109
upk_185,UPK 185,UPK_185,346.424,49.376,0.552,573.0,0.0708,109
upk_535,UPK 535,UPK_535,127.025,-50.899,2.0,320.0,0.0331,109
collinder_107,Cl Collinder 107,Collinder_107,99.203,4.972,0.975,1666.0,0.0182,108
ngc_2453,NGC 2453,NGC_2453,116.894,-27.194,0.25,4486.0,0.0251,108
ruprecht_85,Cl Ruprecht 85,Ruprecht_85,150.36,-55.109,0.25,4803.0,0.2042,108
sai_118,SAI 118,SAI_118,205.811,-63.146,0.25,1829.0,0.0316,108
teutsch_156,Teutsch 156,Teutsch_156,315.95,47.215,0.25,5113.0,1.0715,108
berkeley_55,Cl Berkeley 55,Berkeley_55,319.232,51.762,0.25,2754.0,0.1995,107
collinder_74,Cl Collinder 74,Collinder_74,87.17,7.374,0.25,2498.0,1.9055,107
eso_368_11,ESO 368-11,ESO_368_11,116.086,-34.628,0.25,2117.0,0.5888,107
ruprecht_176,Cl Ruprecht 176,Ruprecht_176,243.676,-51.332,0.25,2615.0,0.1202,107
stock_12,Cl Stock 12,Stock_12,353.923,52.685,1.008,454.0,0.1122,107
upk_54,UPK 54,UPK_54,286.157,15.689,0.855,807.0,0.1175,107
berkeley_37,Cl Berkeley 37,Berkeley_37,110.075,-1.002,0.25,4185.0,0.9333,106
ic_1805,IC 1805,IC_1805,38.21,61.471,0.278,1964.0,0.0076,106
lp_658,[LP2019] 658,LP_658,95.274,-3.431,0.343,1533.0,0.9333,106
ngc_2304,NGC 2304,NGC_2304,103.802,17.984,0.25,3843.0,0.912,106
ngc_2455,NGC 2455,NGC_2455,117.284,-21.298,0.25,3090.0,0.3236,106
ruprecht_66,Cl Ruprecht 66,Ruprecht_66,130.142,-38.071,0.25,3659.0,1.4125,106
upk_467,UPK 467,UPK_467,121.237,-11.42,1.512,579.0,0.1175,106
ascc_85,[KPR2005] 85,ASCC_85,251.853,-45.555,0.892,829.0,0.0708,105
eso_130_08,ESO 130-08,ESO_130_08,182.619,-59.479,0.253,1342.0,0.1778,105
ic_5146,IC 5146,IC_5146,328.372,47.246,0.25,500.0,0.1,105
lp_2253,[LP2019] 2253,LP_2253,307.515,45.921,0.302,1563.0,0.0513,105
ngc_4349,NGC 4349,NGC_4349,186.048,-61.866,0.25,1920.0,0.3162,105
ruprecht_45,Cl Ruprecht 45,Ruprecht_45,119.894,-16.292,0.25,4043.0,3.1623,105
ubc_92,UBC 92,UBC_92,269.883,-26.655,0.25,2370.0,0.302,105
upk_53,UPK 53,UPK_53,288.544,14.392,0.862,621.0,0.4571,105
bh_222,Cl VDBH 222,BH_222,259.694,-38.289,0.25,500.0,0.1,104
berkeley_60,Cl Berkeley 60,Berkeley_60,4.44,60.936,0.25,3711.0,0.3715,104
fsr_1586,[FSR2007] 1586,FSR_1586,170.679,-62.302,0.25,500.0,0.1,104
fsr_1723,[FSR2007] 1723,FSR_1723,238.769,-46.014,0.25,1496.0,0.1778,104
roslund_3,Cl Roslund 3,Roslund_3,299.695,20.509,0.25,1616.0,0.0537,104
ic_2581,IC 2581,IC_2581,156.867,-57.626,0.25,2535.0,0.0102,103
trumpler_28,Cl Trumpler 28,Trumpler_28,264.231,-32.469,0.25,1397.0,0.0776,103
ubc_17b,UBC 17b,UBC_17b,83.195,-1.585,1.335,408.0,0.0115,103
ubc_669,UBC 669,UBC_669,251.81,-46.665,0.25,2378.0,0.2951,103
ubc_8,UBC 8,UBC_8,84.519,57.124,1.065,497.0,0.5012,103
fsr_1253,[FSR2007] 1253,FSR_1253,111.583,-18.433,0.25,4607.0,0.2951,102
ngc_2259,NGC 2259,NGC_2259,99.633,10.885,0.25,3005.0,0.2754,102
trumpler_7,Cl Trumpler 7,Trumpler_7,111.849,-23.949,0.25,1712.0,0.0661,102
ubc_314,UBC 314,UBC_314,243.386,-50.128,0.26,1646.0,3.0903,102
bh_37,Cl VDBH 37,BH_37,128.946,-43.61,0.25,4038.0,0.1738,101
ngc_5288,NGC 5288,NGC_5288,207.193,-64.68,0.25,2675.0,0.4677,101
stock_5,Cl Stock 5,Stock_5,31.119,64.365,0.483,975.0,0.1318,101
